Frame,Sekunde,Aktion,WRIST_Y,SHOULDER_Y,ANKLE_Y,Sichtbarkeit,Fehler
126,5.04,neutral,0.6644665002822876,0.5964685678482056,0.8877300024032593,0.65,False
127,5.08,neutral,0.7033887505531311,0.5937061905860901,0.8866283893585205,0.63,False
128,5.12,neutral,0.7013903856277466,0.597940981388092,0.8856409192085266,0.63,False
129,5.16,neutral,0.6277965307235718,0.596049427986145,0.8852083683013916,0.63,False
130,5.2,neutral,0.6449011564254761,0.5939215421676636,0.8858223557472229,0.63,False
131,5.24,neutral,0.6467665433883667,0.5960744619369507,0.8859509825706482,0.62,False
132,5.28,neutral,0.6795280575752258,0.6040188670158386,0.8875906467437744,0.61,False
133,5.32,neutral,0.6937509775161743,0.6076436042785645,0.8884671330451965,0.61,False
134,5.36,neutral,0.6948789954185486,0.6066928505897522,0.8893252611160278,0.59,False
135,5.4,neutral,0.6376276612281799,0.6053032279014587,0.8902279734611511,0.56,False
136,5.44,neutral,0.6932318806648254,0.604785680770874,0.8867079615592957,0.57,False
137,5.48,neutral,0.687826931476593,0.602748692035675,0.8880290389060974,0.56,False
138,5.52,neutral,0.550501823425293,0.600239634513855,0.8880939483642578,0.57,False
139,5.56,neutral,0.5595178604125977,0.5999089479446411,0.8882357478141785,0.57,False
140,5.6,neutral,0.6043552756309509,0.6000565886497498,0.887447714805603,0.6,False
141,5.64,neutral,0.6631581783294678,0.5999980568885803,0.887279748916626,0.59,False
142,5.68,neutral,0.6625964641571045,0.603566586971283,0.8837327361106873,0.6,False
143,5.72,neutral,0.6222800612449646,0.6033017039299011,0.8832520842552185,0.61,False
144,5.76,neutral,0.5725265741348267,0.6060783863067627,0.8847382068634033,0.63,False
145,5.8,neutral,0.5523733496665955,0.6073834896087646,0.8829753994941711,0.65,False
146,5.84,neutral,0.5639668703079224,0.6118146777153015,0.8832012414932251,0.65,False
147,5.88,neutral,0.5429161190986633,0.6046470403671265,0.8802514672279358,0.66,False
148,5.92,neutral,0.5392280220985413,0.6071790456771851,0.8803420066833496,0.68,False
149,5.96,neutral,0.5712704062461853,0.6031871438026428,0.8839770555496216,0.67,False
150,6.0,neutral,0.5528749227523804,0.6108018755912781,0.8855269551277161,0.69,False
151,6.04,neutral,0.5588197708129883,0.5991058945655823,0.8778467178344727,0.65,False
152,6.08,neutral,0.66944420337677,0.599735677242279,0.8703641295433044,0.62,False
153,6.12,neutral,0.6874096393585205,0.5999096632003784,0.8613829016685486,0.61,False
154,6.16,neutral,0.6829388737678528,0.6003755331039429,0.8666428327560425,0.62,False
155,6.2,neutral,0.6729457378387451,0.5973525047302246,0.8689233660697937,0.61,False
156,6.24,neutral,0.669086217880249,0.5973801016807556,0.8597854971885681,0.58,False
157,6.28,neutral,0.6750967502593994,0.5978269577026367,0.8626983761787415,0.54,False
158,6.32,neutral,0.6733536124229431,0.5984722971916199,0.8661268949508667,0.51,False
159,6.36,neutral,0.6369943618774414,0.5991761088371277,0.8676221966743469,0.48,True
160,6.4,neutral,0.6581324338912964,0.600945770740509,0.870080292224884,0.46,True
161,6.44,neutral,0.6433750987052917,0.6023566722869873,0.8790104389190674,0.43,True
162,6.48,neutral,0.6443735361099243,0.6023938655853271,0.8659756183624268,0.41,True
163,6.52,neutral,0.6076764464378357,0.6026487350463867,0.8746355175971985,0.38,True
164,6.56,neutral,0.5537371039390564,0.6037464141845703,0.8744789361953735,0.39,True
165,6.6,neutral,0.5646751523017883,0.6066268682479858,0.8877259492874146,0.38,True
166,6.64,neutral,0.6170790791511536,0.6070927977561951,0.8854763507843018,0.35,True
167,6.68,neutral,0.621942400932312,0.6068335771560669,0.8862309455871582,0.32,True
168,6.72,neutral,0.6479883193969727,0.606685996055603,0.8864319324493408,0.3,True
169,6.76,neutral,0.6601137518882751,0.6065745949745178,0.8877508044242859,0.28,True
170,6.8,neutral,0.6657273173332214,0.6059290766716003,0.888773500919342,0.26,True
171,6.84,neutral,0.6698586940765381,0.6035518050193787,0.8489503860473633,0.25,True
172,6.88,neutral,0.6744509339332581,0.6028182506561279,0.8587692975997925,0.25,True
173,6.92,neutral,0.6740527749061584,0.602769136428833,0.8227768540382385,0.27,True
174,6.96,neutral,0.6713893413543701,0.6033713817596436,0.8338429927825928,0.27,True
175,7.0,neutral,0.6721779108047485,0.6036117076873779,0.8178070783615112,0.28,True
176,7.04,neutral,0.6713393330574036,0.606069028377533,0.7761502861976624,0.3,True
177,7.08,neutral,0.6735048890113831,0.6081276535987854,0.778569757938385,0.3,True
178,7.12,neutral,0.6788084506988525,0.6112331748008728,0.7513371109962463,0.31,True
179,7.16,neutral,0.68212890625,0.6126807332038879,0.7484080791473389,0.31,True
180,7.2,neutral,0.6886640787124634,0.6162645816802979,0.7532938122749329,0.3,True
181,7.24,neutral,0.6866211891174316,0.6172671318054199,0.7660394906997681,0.32,True
182,7.28,neutral,0.6860710382461548,0.618396520614624,0.7729657292366028,0.32,True
183,7.32,neutral,0.6840710043907166,0.6193225383758545,0.7759231925010681,0.32,True
184,7.36,neutral,0.6835047602653503,0.6187182068824768,0.7848260402679443,0.3,True
185,7.4,neutral,0.683055579662323,0.6185579895973206,0.7849493026733398,0.3,True
186,7.44,neutral,0.6791353821754456,0.6149893999099731,0.7867549657821655,0.32,True
187,7.48,neutral,0.675733745098114,0.6117048263549805,0.7875159978866577,0.35,True
188,7.52,neutral,0.6719109416007996,0.6068688035011292,0.7888158559799194,0.35,True
189,7.56,neutral,0.6704033613204956,0.6011389493942261,0.7890539765357971,0.4,True
190,7.6,neutral,0.6672562956809998,0.5965533256530762,0.7889972925186157,0.45,True
191,7.64,neutral,0.6654984951019287,0.5957189798355103,0.7805657982826233,0.46,True
192,7.68,neutral,0.6646192073822021,0.5944761633872986,0.7792723178863525,0.49,True
193,7.72,neutral,0.6659556031227112,0.5953407287597656,0.7795069217681885,0.46,True
194,7.76,neutral,0.6690338253974915,0.5968630313873291,0.78312748670578,0.47,True
195,7.8,neutral,0.6730007529258728,0.599503755569458,0.7858988046646118,0.48,True
196,7.84,neutral,0.6781908273696899,0.6051573753356934,0.7856239676475525,0.48,True
197,7.88,neutral,0.6847317218780518,0.6102196574211121,0.7852737307548523,0.49,True
198,7.92,neutral,0.6844053864479065,0.6146613359451294,0.7803247570991516,0.47,True
199,7.96,neutral,0.682775616645813,0.619063138961792,0.7721912860870361,0.43,True
200,8.0,neutral,0.6907294392585754,0.6245328187942505,0.7695753574371338,0.41,True
201,8.04,neutral,0.6820254921913147,0.6318833827972412,0.7551486492156982,0.37,True
202,8.08,neutral,0.7020165324211121,0.6369847655296326,0.7665824890136719,0.35,True
203,8.12,neutral,0.7027713060379028,0.6433802247047424,0.773357629776001,0.32,True
204,8.16,neutral,0.692375898361206,0.6473337411880493,0.7585572600364685,0.29,True
205,8.2,neutral,0.7039690017700195,0.6520623564720154,0.760491132736206,0.27,True
206,8.24,neutral,0.7146305441856384,0.6537720561027527,0.7589134573936462,0.25,True
207,8.28,neutral,0.7053044438362122,0.6520459651947021,0.7611820697784424,0.25,True
208,8.32,neutral,0.6994119882583618,0.6483548879623413,0.7743326425552368,0.25,True
209,8.36,neutral,0.698106586933136,0.6488639712333679,0.7510712146759033,0.24,True
210,8.4,neutral,0.6977118849754333,0.6466923356056213,0.7430980801582336,0.23,True
211,8.44,neutral,0.6961165070533752,0.642276406288147,0.7376092076301575,0.21,True
212,8.48,neutral,0.6946863532066345,0.640084981918335,0.7219982147216797,0.19,True
213,8.52,neutral,0.6912470459938049,0.6292369365692139,0.7365941405296326,0.2,True
214,8.56,neutral,0.5908858776092529,0.6227313280105591,0.7404736876487732,0.22,True
215,8.6,neutral,0.6329381465911865,0.6169000267982483,0.7415794730186462,0.2,True
216,8.64,neutral,0.6781785488128662,0.6140310168266296,0.7557507157325745,0.21,True
217,8.68,neutral,0.6723154783248901,0.6073633432388306,0.7710641026496887,0.19,True
218,8.72,neutral,0.6576272249221802,0.6046308875083923,0.7652390003204346,0.17,True
219,8.76,neutral,0.6579253077507019,0.601417064666748,0.7714879512786865,0.16,True
220,8.8,neutral,0.6591446995735168,0.5999005436897278,0.7716349959373474,0.17,True
221,8.84,neutral,0.6620193719863892,0.5989376902580261,0.7677226662635803,0.2,True
222,8.88,neutral,0.6625005602836609,0.5945960283279419,0.7763862609863281,0.23,True
223,8.92,neutral,0.6618024110794067,0.5925217270851135,0.773021936416626,0.23,True
224,8.96,neutral,0.6612032055854797,0.5904978513717651,0.7853454351425171,0.26,True
225,9.0,neutral,0.6597136855125427,0.5906989574432373,0.7839934825897217,0.29,True
226,9.04,neutral,0.6601949334144592,0.5912247896194458,0.7889212369918823,0.29,True
227,9.08,neutral,0.6667746901512146,0.5924885869026184,0.7875604033470154,0.3,True
228,9.12,neutral,0.6666706204414368,0.5906286835670471,0.7834600210189819,0.33,True
229,9.16,neutral,0.6540855765342712,0.585860013961792,0.7707889676094055,0.3,True
230,9.2,neutral,0.6516056060791016,0.5831912755966187,0.7589384913444519,0.29,True
231,9.24,neutral,0.6517083048820496,0.580249011516571,0.7551434636116028,0.31,True
232,9.28,neutral,0.6536256670951843,0.5774245262145996,0.7576371431350708,0.36,True
233,9.32,neutral,0.6545860171318054,0.5765136480331421,0.7436091899871826,0.42,True
234,9.36,neutral,0.6575161814689636,0.5776423811912537,0.7456320524215698,0.47,True
235,9.4,neutral,0.657054603099823,0.5756072402000427,0.7437734007835388,0.49,True
236,9.44,neutral,0.6568553447723389,0.5748876333236694,0.7270122766494751,0.53,False
237,9.48,neutral,0.6507994532585144,0.5690661072731018,0.7156596779823303,0.57,False
238,9.52,neutral,0.6449704170227051,0.5634825825691223,0.7219266295433044,0.6,False
239,9.56,neutral,0.6403923034667969,0.5588324069976807,0.714189887046814,0.59,False
240,9.6,neutral,0.6342076659202576,0.5539404153823853,0.7169656753540039,0.6,False
241,9.64,neutral,0.6212075352668762,0.5530686974525452,0.7129601836204529,0.6,False
242,9.68,neutral,0.6162024736404419,0.5476011037826538,0.6673790812492371,0.58,False
243,9.72,neutral,0.5681434869766235,0.5371523499488831,0.6816721558570862,0.53,False
244,9.76,neutral,0.5833899974822998,0.528052568435669,0.7014076709747314,0.49,True
245,9.8,neutral,0.5536697506904602,0.5206494331359863,0.7046476602554321,0.46,True
246,9.84,neutral,0.556582510471344,0.5122087597846985,0.7057983875274658,0.43,True
247,9.88,neutral,0.5535959601402283,0.5053843259811401,0.6963747143745422,0.45,True
248,9.92,neutral,0.552971363067627,0.5066757798194885,0.6868456602096558,0.42,True
249,9.96,neutral,0.5515351891517639,0.507046639919281,0.6815998554229736,0.39,True
250,10.0,neutral,0.5627338886260986,0.5078116059303284,0.6798408627510071,0.4,True
251,10.04,neutral,0.5598927736282349,0.507964551448822,0.6681517958641052,0.41,True
252,10.08,neutral,0.5615174174308777,0.5083784461021423,0.6773350238800049,0.39,True
253,10.12,neutral,0.5554144382476807,0.5070734024047852,0.6812684535980225,0.37,True
254,10.16,neutral,0.5304535627365112,0.5039262771606445,0.6825636625289917,0.33,True
255,10.2,neutral,0.4683755338191986,0.5005373954772949,0.6302070617675781,0.37,True
273,10.92,neutral,0.7785369157791138,0.7075995206832886,0.8833144903182983,0.43,True
274,10.96,neutral,0.7784895300865173,0.7075621485710144,0.8843868970870972,0.48,True
275,11.0,neutral,0.77863609790802,0.7075578570365906,0.8831858038902283,0.53,False
276,11.04,neutral,0.779001772403717,0.7075429558753967,0.8893311023712158,0.57,False
277,11.08,neutral,0.7817699909210205,0.7078338861465454,0.8898195624351501,0.61,False
278,11.12,neutral,0.7836183905601501,0.7077933549880981,0.8922112584114075,0.65,False
279,11.16,neutral,0.7834105491638184,0.7076645493507385,0.8937872648239136,0.68,False
280,11.2,neutral,0.7841941118240356,0.7076501250267029,0.8963677883148193,0.7,False
281,11.24,neutral,0.7843576669692993,0.7075726389884949,0.8954782485961914,0.73,False
282,11.28,neutral,0.784504234790802,0.7086035013198853,0.8896623253822327,0.75,False
283,11.32,neutral,0.7844139933586121,0.7120875120162964,0.8866652846336365,0.77,False
284,11.36,neutral,0.7852613925933838,0.7151758670806885,0.8793789744377136,0.77,False
285,11.4,neutral,0.7884323596954346,0.7214233875274658,0.8814728260040283,0.75,False
286,11.44,neutral,0.7971310019493103,0.7263650894165039,0.8818069696426392,0.76,False
287,11.48,neutral,0.8037488460540771,0.7298274040222168,0.8819355368614197,0.78,False
288,11.52,neutral,0.8130390048027039,0.7303669452667236,0.8833620548248291,0.8,False
289,11.56,neutral,0.8103713393211365,0.7293585538864136,0.8835940957069397,0.81,False
290,11.6,neutral,0.8103187084197998,0.7283839583396912,0.8840190768241882,0.82,False
291,11.64,neutral,0.810573935508728,0.7269324660301208,0.8842570781707764,0.83,False
292,11.68,neutral,0.8090733885765076,0.7254340648651123,0.8836930990219116,0.84,False
293,11.72,neutral,0.8072077631950378,0.721272349357605,0.8838478922843933,0.85,False
294,11.76,neutral,0.8044907450675964,0.7185527682304382,0.8840348720550537,0.85,False
295,11.8,neutral,0.8025772571563721,0.7145649790763855,0.8831546902656555,0.85,False
296,11.84,neutral,0.7920360565185547,0.7126021385192871,0.8832294344902039,0.85,False
297,11.88,neutral,0.7915337085723877,0.7107730507850647,0.8847997188568115,0.83,False
298,11.92,neutral,0.7908371686935425,0.708568811416626,0.8845120072364807,0.83,False
299,11.96,neutral,0.7898275256156921,0.7073691487312317,0.8840090036392212,0.84,False
300,12.0,neutral,0.786724865436554,0.7050699591636658,0.882085382938385,0.84,False
301,12.04,neutral,0.783688485622406,0.7031295895576477,0.8809459805488586,0.82,False
302,12.08,neutral,0.7835028171539307,0.7006699442863464,0.8782014846801758,0.82,False
303,12.12,neutral,0.7803135514259338,0.6973963975906372,0.8746655583381653,0.82,False
304,12.16,neutral,0.7797480225563049,0.6962486505508423,0.8729255199432373,0.83,False
305,12.2,neutral,0.7788009643554688,0.6939858794212341,0.8720934391021729,0.83,False
306,12.24,neutral,0.7788275480270386,0.6924448609352112,0.8722343444824219,0.83,False
307,12.28,neutral,0.7773876786231995,0.692294180393219,0.8728944659233093,0.84,False
308,12.32,neutral,0.7761135697364807,0.6906416416168213,0.8733149170875549,0.85,False
309,12.36,neutral,0.7756028175354004,0.6900670528411865,0.8727617263793945,0.86,False
310,12.4,neutral,0.7760475277900696,0.6901534795761108,0.8726356625556946,0.87,False
311,12.44,neutral,0.7757703065872192,0.6900796294212341,0.8704946041107178,0.87,False
312,12.48,neutral,0.7758854627609253,0.6903641819953918,0.8693551421165466,0.87,False
313,12.52,neutral,0.776332437992096,0.6902024745941162,0.8692910075187683,0.87,False
314,12.56,neutral,0.775580108165741,0.6905843019485474,0.8694313764572144,0.87,False
315,12.6,neutral,0.7749264240264893,0.6907575130462646,0.8697434067726135,0.87,False
316,12.64,neutral,0.7746250033378601,0.6905037760734558,0.8699017763137817,0.86,False
317,12.68,neutral,0.7747606039047241,0.6905420422554016,0.8705199956893921,0.85,False
318,12.72,neutral,0.774910032749176,0.6907007694244385,0.8710321187973022,0.84,False
319,12.76,neutral,0.7744195461273193,0.6907749176025391,0.8710839748382568,0.8,False
320,12.8,neutral,0.7716583013534546,0.6908531785011292,0.8711300492286682,0.75,False
321,12.84,neutral,0.7732480764389038,0.6912293434143066,0.8711515069007874,0.76,False
322,12.88,neutral,0.7736979126930237,0.6912578344345093,0.8717371821403503,0.76,False
323,12.92,neutral,0.7742853760719299,0.6914684176445007,0.8712117671966553,0.77,False
324,12.96,neutral,0.7743430137634277,0.691493570804596,0.8710441589355469,0.77,False
325,13.0,neutral,0.7744119167327881,0.6909173130989075,0.871015191078186,0.78,False
326,13.04,neutral,0.7746102809906006,0.6902077198028564,0.8710629940032959,0.79,False
327,13.08,neutral,0.7746466994285583,0.6900889873504639,0.8710724711418152,0.8,False
328,13.12,neutral,0.7746561169624329,0.6897758841514587,0.8709610104560852,0.81,False
329,13.16,neutral,0.7755879163742065,0.6895871162414551,0.8708915710449219,0.82,False
330,13.2,neutral,0.7765316963195801,0.6895418167114258,0.8711060881614685,0.83,False
331,13.24,neutral,0.7829513549804688,0.6901261210441589,0.8714986443519592,0.84,False
332,13.28,neutral,0.7847687602043152,0.6918177604675293,0.8723205924034119,0.85,False
333,13.32,neutral,0.7889907360076904,0.6944352388381958,0.872300386428833,0.86,False
334,13.36,neutral,0.7931554317474365,0.6977095007896423,0.8731938600540161,0.87,False
335,13.4,neutral,0.7934176921844482,0.6996729373931885,0.8740251064300537,0.88,False
336,13.44,neutral,0.7933464050292969,0.7005918622016907,0.8763282299041748,0.88,False
337,13.48,neutral,0.7937846183776855,0.7008668184280396,0.8790691494941711,0.89,False
338,13.52,neutral,0.7961772084236145,0.7012693285942078,0.8831691145896912,0.9,False
339,13.56,neutral,0.7961286902427673,0.7011115550994873,0.8916826248168945,0.9,False
340,13.6,neutral,0.7970088720321655,0.7014272809028625,0.8980093002319336,0.91,False
341,13.64,neutral,0.7968634963035583,0.7017902135848999,0.8989474177360535,0.91,False
342,13.68,neutral,0.7962422966957092,0.702305018901825,0.8995612263679504,0.92,False
343,13.72,neutral,0.7961863279342651,0.702173113822937,0.8995492458343506,0.92,False
344,13.76,neutral,0.7956236600875854,0.7024496793746948,0.9003896713256836,0.92,False
345,13.8,neutral,0.795574963092804,0.7024163603782654,0.9020982384681702,0.92,False
346,13.84,neutral,0.7952944040298462,0.7027862071990967,0.9019181132316589,0.91,False
347,13.88,neutral,0.7959481477737427,0.7041578888893127,0.9012715220451355,0.92,False
348,13.92,neutral,0.7969359755516052,0.7057831287384033,0.9002355933189392,0.92,False
349,13.96,neutral,0.7967715859413147,0.706508457660675,0.8996161222457886,0.92,False
350,14.0,neutral,0.7965165376663208,0.7068254351615906,0.8992263078689575,0.92,False
351,14.04,neutral,0.7978177666664124,0.7078626155853271,0.9008365273475647,0.93,False
352,14.08,neutral,0.7980735898017883,0.7085469961166382,0.9005305171012878,0.93,False
353,14.12,neutral,0.7983844876289368,0.7091072201728821,0.9000204801559448,0.94,False
354,14.16,neutral,0.7991890907287598,0.7108687162399292,0.8967779874801636,0.94,False
355,14.2,neutral,0.7997086644172668,0.7124798893928528,0.8956055045127869,0.94,False
356,14.24,neutral,0.7998929023742676,0.7133986353874207,0.8950426578521729,0.94,False
357,14.28,neutral,0.7996924519538879,0.7144376635551453,0.8951115012168884,0.94,False
358,14.32,neutral,0.8004380464553833,0.7150636315345764,0.8950719833374023,0.94,False
359,14.36,neutral,0.7918954491615295,0.714415967464447,0.8950240015983582,0.91,False
360,14.4,neutral,0.7794269919395447,0.7129313945770264,0.894659698009491,0.89,False
361,14.44,neutral,0.7757653594017029,0.7102819085121155,0.8944224119186401,0.89,False
362,14.48,neutral,0.7731584906578064,0.7078888416290283,0.893441915512085,0.83,False
363,14.52,neutral,0.7600993514060974,0.7014787197113037,0.8905333280563354,0.76,False
364,14.56,neutral,0.7560142278671265,0.6970160603523254,0.8850285410881042,0.71,False
365,14.6,neutral,0.7528245449066162,0.6937942504882812,0.8798776865005493,0.7,False
366,14.64,neutral,0.7518484592437744,0.6940196752548218,0.8671839833259583,0.68,False
367,14.68,neutral,0.7525829672813416,0.6955015659332275,0.8593775629997253,0.64,False
368,14.72,neutral,0.7502859830856323,0.6977182626724243,0.8669822216033936,0.6,False
369,14.76,neutral,0.7701693773269653,0.7023347020149231,0.8698492646217346,0.64,False
370,14.8,neutral,0.7705912590026855,0.7068065404891968,0.8670523762702942,0.65,False
371,14.84,neutral,0.7725133895874023,0.7096139788627625,0.8632950782775879,0.66,False
372,14.88,neutral,0.7743507027626038,0.711943507194519,0.8663073182106018,0.66,False
373,14.92,neutral,0.7738154530525208,0.7133537530899048,0.8675925135612488,0.68,False
374,14.96,neutral,0.7837369441986084,0.7151045799255371,0.8669416308403015,0.69,False
375,15.0,neutral,0.7793129682540894,0.713325023651123,0.8676282167434692,0.71,False
376,15.04,neutral,0.7785415053367615,0.7117822170257568,0.8647913336753845,0.69,False
377,15.08,neutral,0.7709957957267761,0.7053875923156738,0.8578014373779297,0.66,False
378,15.12,neutral,0.7677772045135498,0.7022917866706848,0.859830379486084,0.67,False
379,15.16,neutral,0.7642987966537476,0.6943191885948181,0.8609619736671448,0.67,False
380,15.2,neutral,0.7623498439788818,0.6889724135398865,0.8569624423980713,0.7,False
381,15.24,neutral,0.7589781284332275,0.685859203338623,0.8561320304870605,0.72,False
382,15.28,neutral,0.7588568329811096,0.682976245880127,0.8571932911872864,0.73,False
383,15.32,neutral,0.7604981064796448,0.6830082535743713,0.8566765785217285,0.74,False
384,15.36,neutral,0.7613857388496399,0.6856012344360352,0.8588648438453674,0.76,False
385,15.4,neutral,0.7661572694778442,0.687715470790863,0.8632785081863403,0.78,False
386,15.44,neutral,0.7737038731575012,0.6916002631187439,0.8725934624671936,0.78,False
387,15.48,neutral,0.7829145789146423,0.702688455581665,0.8802136778831482,0.79,False
388,15.52,neutral,0.7844976186752319,0.7116908431053162,0.8780540227890015,0.75,False
389,15.56,neutral,0.7842376232147217,0.7181001901626587,0.8763800859451294,0.71,False
390,15.6,neutral,0.782110333442688,0.7215783596038818,0.8777447938919067,0.66,False
391,15.64,neutral,0.7990153431892395,0.7248777151107788,0.878129780292511,0.66,False
392,15.68,neutral,0.792726993560791,0.7267438769340515,0.8803461194038391,0.63,False
393,15.72,neutral,0.801598310470581,0.7285153865814209,0.8818159103393555,0.64,False
394,15.76,neutral,0.8052726984024048,0.7294213175773621,0.8801767230033875,0.64,False
395,15.8,neutral,0.8039273619651794,0.7289198637008667,0.879458487033844,0.62,False
396,15.84,neutral,0.8017022013664246,0.728236973285675,0.8792532086372375,0.63,False
397,15.88,neutral,0.7999697327613831,0.7269694805145264,0.8790687918663025,0.63,False
398,15.92,neutral,0.7984904050827026,0.7261204123497009,0.8791983723640442,0.63,False
399,15.96,neutral,0.794901967048645,0.7242043614387512,0.8790866732597351,0.61,False
400,16.0,neutral,0.7919805645942688,0.7220644950866699,0.8795025944709778,0.59,False
401,16.04,neutral,0.7881482839584351,0.7162487506866455,0.8793621063232422,0.57,False
402,16.08,neutral,0.7801253795623779,0.7105271220207214,0.8760064244270325,0.55,False
403,16.12,neutral,0.7699962258338928,0.7012381553649902,0.8732382655143738,0.55,False
404,16.16,neutral,0.7573408484458923,0.6932488679885864,0.8699528574943542,0.56,False
405,16.2,neutral,0.7488510608673096,0.683823823928833,0.8705018758773804,0.58,False
406,16.24,neutral,0.7405773997306824,0.6765339374542236,0.8639519214630127,0.61,False
407,16.28,neutral,0.7358067035675049,0.6715689301490784,0.8636651039123535,0.63,False
408,16.32,neutral,0.7310698628425598,0.6649500727653503,0.846832811832428,0.62,False
409,16.36,neutral,0.7317910194396973,0.6645106673240662,0.8419367671012878,0.61,False
410,16.4,neutral,0.7371118068695068,0.6628748178482056,0.8440062999725342,0.63,False
411,16.44,neutral,0.7363795638084412,0.6631523966789246,0.8439950942993164,0.62,False
412,16.48,neutral,0.7398412823677063,0.6669356226921082,0.844247579574585,0.63,False
413,16.52,neutral,0.7329037189483643,0.6701972484588623,0.845201313495636,0.58,False
414,16.56,neutral,0.7346818447113037,0.6716023683547974,0.8460186123847961,0.52,False
415,16.6,neutral,0.7295514941215515,0.6710098385810852,0.8448461890220642,0.47,True
416,16.64,neutral,0.6776726841926575,0.6685380339622498,0.8419340252876282,0.43,True
417,16.68,neutral,0.6756634712219238,0.6624405384063721,0.839537501335144,0.39,True
418,16.72,neutral,0.658704400062561,0.6633203029632568,0.8251027464866638,0.39,True
419,16.76,neutral,0.6468569040298462,0.6603673696517944,0.825702965259552,0.4,True
420,16.8,neutral,0.6607924699783325,0.6581976413726807,0.820310652256012,0.41,True
421,16.84,neutral,0.6532226204872131,0.6479076743125916,0.8181418776512146,0.41,True
422,16.88,neutral,0.652642011642456,0.6417856812477112,0.809006929397583,0.43,True
423,16.92,neutral,0.6518396735191345,0.6399967074394226,0.8027018308639526,0.42,True
424,16.96,neutral,0.6494499444961548,0.6404279470443726,0.7922494411468506,0.45,True
425,17.0,neutral,0.6498461961746216,0.6449841856956482,0.7981537580490112,0.49,True
426,17.04,neutral,0.7052866816520691,0.647907018661499,0.799586832523346,0.54,False
